Player,POS,Year,BBE,AVG,50th,55th,60th,65th,70th,75th,80th,85th,90th,95th,99th,MAX
Austin Riley,3B,2021,230,94.97,98,100,101.3,102.86,103.9,105,106.3,107.9,109.11,110.3,112.44,113.1
Teoscar Hernandez,OF,2021,223,96.27,98.7,99.9,101.72,103.23,104.44,105.4,106.26,107.47,109.1,110.69,112.77,115.7
Jared Walsh,1B,2021,170,93.96,96.55,98.2,99.92,101.19,102.89,103.68,105.6,107.6,109.02,110.37,112.42,113.4
Matt Olson,1B,2021,231,96.06,98.1,99.1,100.2,101.75,103.3,104.6,105.9,106.9,109,110.5,113.25,115.3
Pedro Severino,C/DH,2021,133,93.82,95.9,98.86,100.56,101.2,103.6,104.8,106.32,107.74,108.98,110.3,112.66,114.6
Patrick Wisdom,DH,2021,110,96.23,99.65,100.99,101.76,102.5,103.5,104.7,105.42,107.43,108.9,109.91,111.68,114.2
Hunter Renfroe,OF,2021,198,96.27,98.15,100.44,102.02,103.31,104.38,105.25,106.9,107.5,108.8,110.5,113.25,116.4
Harold Ramirez,OF,2021,116,95.14,96.1,97.13,98.8,99.55,100.85,103.13,105.6,107.48,108.7,110.5,113.87,114.5
Corey Seager,SS/DH,2021,143,97.32,97.7,99.6,101.12,102.1,103.5,104.75,105.86,107.04,108.68,109.59,111.02,115.3
Gary Sanchez,C/DH,2021,136,95.1,96.9,98.83,100.9,102.58,103.3,104.7,105.1,106.6,108.6,111.03,113.2,113.4
Josh Bell,1B/DH,2021,173,96.47,97.8,99.28,100.6,101.56,103.04,104.6,105.7,106.92,108.6,109.7,112.11,115.8
Eric Hosmer,1B,2021,157,95.31,96.1,98.94,99.86,102.04,103.02,103.5,105.38,106.48,108.56,109.94,111.8,111.9
Christian Yelich,OF/DH,2021,118,96.08,98.2,99.38,100.8,101.92,103.09,104.65,106.04,107.24,108.49,110.82,113.16,114.9
Bobby Bradley,DH,2021,79,96.32,98,99.3,100.68,102.5,104.24,105.4,106.22,106.93,108.42,110.33,113.97,114.2
Trey Mancini,OF,2021,190,93.79,96.2,97.6,99.1,100.97,102.5,103.08,104.2,106.48,108.41,110.26,112.27,113.9
Darin Ruf,OF/DH,2021,93,97.33,99.5,101.5,101.82,102.68,103.86,104.7,105.88,107.12,108.38,109.62,110.62,110.8
Jazz Chisholm Jr.,2B/SS,2021,149,94.74,96.5,97.9,99.04,100.32,102.32,102.9,105.2,106.5,108.34,109.78,111.51,112.1
Ryan Zimmerman,1B,2021,78,96.02,99.15,99.61,100.38,101.31,102.57,103.48,105.42,107.25,108.3,109.35,110.19,111.5
Javier Baez,SS,2021,145,95.77,98.7,100.2,102.54,103.36,103.98,105.2,105.84,107.24,108.26,110.74,112.93,116.7
Joc Pederson,OF/DH,2021,165,96.29,98.1,99.2,100.26,101.64,102.68,104.2,105.3,106.7,108.16,109.98,111.75,113.6
Eric Haase,C/OF,2021,126,95.73,97.5,98.4,100.1,101.25,102.15,104.75,106.1,107.33,108.15,109.2,112.58,113.2
Jose Abreu,1B,2021,205,95.28,97.5,99.2,100,101.16,103.2,104.1,105.24,106.54,108.14,110.28,113.26,115.6
Anthony Santander,OF,2021,165,94.16,94.5,96.1,97.74,99.08,100.6,102.7,104.68,106.08,108.12,109.64,111.45,112.8
Yasmani Grandal,C/DH,2021,100,98.26,99.9,101.09,102.64,104.17,104.9,104.93,105.76,107,108.11,110.04,111.6,112
Tyler Naquin,OF,2021,142,93.32,95.9,97.74,99.02,100.1,102.41,103.88,104.86,106.27,108.1,109.49,112.4,113.5
Mitch Garver,C,2021,80,98,99.85,101.48,102.08,104.05,105.63,105.95,106.68,107.52,108,109.13,110.93,111.8
Randy Arozarena,OF,2021,158,94.53,95.35,96.91,99,99.92,101.19,102.75,104.02,104.65,108,110.33,112.1,112.6
Carlos Correa,SS,2021,220,94,95.6,97.6,99.04,99.7,101.23,102.65,104.42,105.55,107.94,109.91,112.48,113.3
Garrett Cooper,1B/DH,2021,67,94.43,97.7,99.33,101.22,102.07,102.8,104.7,106.36,107.32,107.9,109.33,111.25,112.5
Sean Murphy,C,2021,145,93.52,95.9,96.92,98.8,100.12,100.78,102.8,104.18,105.88,107.86,109.36,112.21,112.8
Paul Goldschmidt,1B,2021,263,96.62,97.9,98.71,100.64,101.73,103.3,104.7,105.88,106.6,107.78,109.3,111.64,112.2
Eloy Jimenez,OF,2021,72,95.45,97.2,98.11,99.4,100.63,102.05,104.1,104.88,106.44,107.78,109.58,111.93,112
Max Muncy,1B/2B/3B,2021,211,97.27,99.3,100.35,101.4,102.4,103.7,104.85,106.1,106.8,107.7,108.55,110.62,112.3
Tommy Pham,OF/DH,2021,162,96.09,97.05,98.51,99.86,102.07,102.81,103.85,104.76,105.87,107.7,108.6,110.31,112.7
Rhys Hoskins,1B,2021,173,95.77,98.2,99.84,100.9,102.22,103.1,103.8,105.86,106.8,107.68,108.84,111,112.2
Jo Adell,OF,2021,44,90.82,90.15,93.05,95.64,97.07,100.5,103.13,105.98,106.53,107.68,110.06,112.76,113.4
Bo Bichette,SS,2021,234,94.63,96.2,97.02,98.48,100.15,101.9,103.45,105.08,105.81,107.64,109.37,111.93,115.5
Eugenio Suarez,3B,2021,190,93.86,95.15,97,98.14,100.54,102.23,103.25,104.52,106.17,107.63,109.16,111.06,111.9
Adam Duvall,OF,2021,198,94.86,98.1,99.6,100.7,102.01,102.69,103.8,104.5,105.8,107.6,108.65,112.11,113.7
Marcell Ozuna,OF/DH,2021,81,93.04,94.3,94.8,96,98.3,99.5,101.7,103.4,105.4,107.6,110.7,114.14,114.3
Jesse Winker,OF/DH,2021,179,95.58,97.2,98.78,99.8,100.6,101.3,102.45,103.48,105.33,107.46,109.11,111.82,113.4
David Bote,2B/3B,2021,99,93.88,94.7,95.89,97.22,98.37,101.1,102.7,104.04,105.1,107.46,111.25,115.01,115.6
Yandy Diaz,3B/DH,2021,162,92.97,93.05,95.01,96.86,98.1,99.47,101,103.18,105.5,107.45,109.5,111.57,113.3
Adalberto Mondesi,SS,2021,36,97.78,96.95,99.53,99.9,101.55,102.95,103.28,104,105.83,107.45,109.58,111.62,112.6
Starling Marte,OF,2021,147,93.38,95.3,96.28,98.32,99.7,101.3,103.05,104.6,106.22,107.44,108.94,111.55,112.9
Brandon Lowe,2B/OF,2021,214,93.81,96.25,98,98.78,99.79,100.65,102.6,104.34,105.6,107.34,109,110.76,111.2
Kyle Lewis,OF,2021,57,93.99,94.4,95.74,97.8,99.88,100.98,103.7,104.7,106.2,107.3,107.7,108.92,109.7
Luke Voit,1B/DH,2021,75,96.72,99.1,99.48,100.16,101.24,101.9,102.75,104.76,105.47,107.28,109.33,110.38,110.9
David Peralta,OF/DH,2021,154,93.08,95.4,96.33,97.38,98.6,99.55,102,103.42,105.24,107.27,109.51,111.99,113.8
Randal Grichuk,OF/DH,2021,198,93.53,94.75,96.21,97.32,98.81,99.9,101.45,103.96,105.35,107.26,109.63,112.5,113.8
Bryan Reynolds,OF,2021,246,93.82,95.15,96.58,98,100.18,101.65,102.98,104.4,105.38,107.25,108.93,111.78,112.7
Gregory Polanco,OF/DH,2021,115,95.8,98.3,99.37,100.34,101.21,101.94,103.35,104.42,106.08,107.24,109.39,112.17,116.2
Ketel Marte,2B,2021,130,95.07,97.35,98.6,99.38,100.3,100.79,103.48,104.46,105.4,107.21,108.91,112.84,116
Josh Naylor,OF/DH,2021,77,94.75,95.6,95.86,99.58,100.12,100.7,102.2,103.52,105.1,107.2,107.86,112.35,112.5
Joey Votto,1B,2021,202,96.94,99.45,100.27,101.3,102.33,103,103.85,104.4,105.7,107.19,108.79,112.98,114.1
Seth Brown,DH,2021,107,95.33,97.9,98.33,98.78,100.84,103.2,103.8,105.18,106.21,107.16,109.64,112.38,113.7
Brad Miller,3B/DH,2021,106,95.95,98.35,99.65,101.8,103.9,104.65,105.6,106,106.7,107.1,108.15,112.38,113.9
Jonathan Villar,2B/SS,2021,147,93.17,94.7,95.53,98.7,100.02,100.98,102.95,104.9,105.64,107.1,107.9,110.04,112.5
Lewis Brinson,OF,2021,88,93.01,94.5,95.67,96.6,98.41,100.04,101.83,103.04,106.19,107.1,108,112.07,113.2
Albert Pujols,1B/DH,2021,107,93.86,94.8,97.3,98.32,99.2,101.22,103,104.54,105.33,107.08,109.77,112.59,112.9
Ramon Laureano,OF,2021,123,94.03,95.8,97.02,98.26,100.96,102.04,103.1,104.5,105.9,107.02,108.29,109.58,112.1
Ian Happ,OF,2021,151,93.78,95.6,96.25,98.1,99.35,100.6,101.9,103.2,104.45,107,109.5,111.35,111.9
Hunter Dozier,1B/OF,2021,178,94.13,95.8,97.3,98.3,99.9,101.1,101.8,103.52,104.6,106.99,109.45,111.69,113
Ji-Man Choi,1B,2021,88,95.34,96.7,97.93,100.62,101.76,102.88,103.78,104.96,105.3,106.93,107.76,110.46,112.9
J.D. Martinez,DH,2021,257,95.33,97,98.6,99.6,101.14,102.44,103.6,104.5,105.7,106.88,108.54,112.24,113.2
J.T. Realmuto,C/DH,2021,166,94.31,96.4,97.08,98,99.53,100.6,101.98,103.4,105.6,106.85,108.68,111.04,111.2
Matt Chapman,3B,2021,190,93.97,95.45,96.69,98.38,99.8,101.09,103.2,104.7,105.33,106.83,108.4,111.21,113.3
Ryan Mountcastle,1B/OF,2021,223,92.49,92.7,94.54,96.4,97.73,99.1,101.95,103.68,105.57,106.78,109.27,112.6,114.6
Freddie Freeman,1B,2021,267,95.41,97.7,98.83,99.8,100.89,101.82,103,104.4,105.02,106.74,108.18,110.1,111.7
Jose Ramirez,3B,2021,240,94.66,95.85,97,98.76,99.9,100.6,101.53,103.32,104.83,106.71,108.5,110.52,112.1
Starlin Castro,2B,2021,116,93.05,94.7,97.13,98.2,99,99.65,100.43,102.2,104.45,106.7,108.93,110.5,111.2
Yoan Moncada,3B,2021,187,92.83,94.5,95.22,97.4,98.59,100.46,101.7,103.78,105.05,106.68,108.27,110.84,113.8
Trevor Story,SS,2021,216,94.06,94.9,96.33,97.5,98.78,100.85,102.73,103.6,105.18,106.65,107.9,109.77,111
Nathaniel Lowe,1B,2021,176,93.04,95.15,96.83,98.1,98.98,99.8,101.1,103,104.38,106.65,108.45,111.58,113.9
Maikel Franco,3B/DH,2021,133,92.59,92.2,93.18,94.54,96.68,99.58,100.5,102.1,104.14,106.62,110.66,111.74,111.9
Nick Castellanos,OF,2021,243,94.9,97.8,98.81,99.6,100.9,101.84,103.1,104.26,105.2,106.58,108.39,110.56,111.9
Andrew Vaughn,1B,2021,168,94.49,95.6,96.77,97.92,99.6,100.78,102.35,103.26,104.4,106.58,108.63,110.93,114.1
Justin Upton,OF,2021,104,93.86,94.55,96.15,98.16,100.85,102.6,103.28,104.44,105.07,106.57,109.44,114.16,116.5
Alex Dickerson,OF,2021,108,92.69,94.9,96.81,98.94,100.43,101.09,101.78,103.18,104.57,106.53,109.23,112.31,112.8
Anthony Rizzo,1B,2021,211,93.12,94.5,96.05,96.9,98.75,100.2,101.85,103.2,104.75,106.5,109.7,111.98,115.2
Xander Bogaerts,SS,2021,223,93.7,95.6,96.61,97.92,99.23,100.52,102.3,104.02,105.2,106.48,109.68,112.96,113.6
Juan Lagares,OF,2021,113,94.02,95.4,96.02,97.74,99.04,100.14,101.8,102.76,103.78,106.46,108.54,109.96,112.2
Ryan O'Hearn,1B/DH,2021,88,94.4,95.7,97.55,98.82,99.64,100.85,102.33,104.52,105.9,106.45,108.43,109.21,110.6
Jonathan Schoop,2B,2021,209,91.71,94.4,96.54,98.4,99.6,100.7,102.1,103.9,105.1,106.44,109.5,111.86,117.1
Danny Jansen,C,2021,77,95.39,96.1,97.76,98.9,100.16,101.18,102.3,103.86,105.58,106.42,108.46,109.68,111.2
Brandon Belt,1B,2021,141,94.2,97.8,98.5,100.2,101.1,102.1,102.8,103.9,105.5,106.4,107.4,109.44,109.9
Brendan Rodgers,2B,2021,138,92.85,94.1,95.8,97.82,99.33,100.67,101.78,102.7,103.54,106.4,107.73,111.16,111.8
Odubel Herrera,OF,2021,165,92.2,93.7,95.1,96.18,98.02,99.36,101.6,102.8,104.54,106.34,108.32,110.34,113
Willy Adames,SS,2021,197,94.36,96.6,97.9,99.16,100.36,101.04,101.9,103.7,104.76,106.3,107.98,110.41,112.5
Adolis Garcia,OF,2021,197,96.29,97.4,98.98,100.36,101.1,101.72,102.6,103.94,104.8,106.28,108.14,110.53,112.4
Austin Slater,OF/DH,2021,89,93.26,95.4,98.22,98.96,100.36,101.5,102.9,103.6,105.06,106.24,107.48,109.2,109.9
Carlos Santana,1B,2021,214,94.11,95.3,96.52,97.5,98.95,100.21,101.45,102.8,104.01,106.23,107.4,109.75,110.3
Tom Murphy,C,2021,79,94.32,95.5,96.29,98.14,99.41,100.86,102,103.74,104.76,106.22,107.22,109.24,109.4
Jeimer Candelario,1B/3B,2021,230,91.71,93.8,95.39,96.48,98.19,99.6,101.38,102.94,104.2,106.22,107.36,109.2,111
Aledmys Diaz,2B,2021,111,93.97,97.1,97.75,98.8,99.75,100.7,101.9,102.9,104.6,106.2,107.35,109.69,110
Jean Segura,2B/3B,2021,184,92.49,94.55,95.5,96.6,98.56,99.92,101.35,102.54,104.3,106.2,107.89,112.23,113.1
Alec Bohm,1B/3B,2021,122,93.65,95.15,96.66,98.26,99.13,100.98,102.98,104.3,104.9,106.19,108.5,110.9,111.6
Ryan McMahon,1B/2B/3B,2021,215,93.86,95.4,96.8,97.74,99.82,101.28,102.1,103.5,104.68,106.16,108.33,110,111.5
Max Kepler,OF,2021,177,93.01,94,96.28,97.72,100.14,101.52,102.1,103.38,104.58,106.1,107.48,110.25,110.8
Trea Turner,SS,2021,235,92.6,95.4,96.27,97.74,98.82,100.04,101.45,102.62,104.48,106.06,108.23,111.03,112.2
Ryan Jeffers,C,2021,78,94.18,98.7,99.3,100.24,101.3,102.09,102.98,103.68,104.8,106.04,108.25,110.58,111.2
Ha-seong Kim,SS,2021,91,90.97,92.5,93.9,95,97.1,97.9,99.15,101.9,103.7,106,107.1,108.97,112.3
Evan Longoria,3B,2021,100,97.01,98.7,99.75,100.6,101.5,102.56,103.1,104.1,105.02,106,106.97,109.04,113.2
Mitch Haniger,OF,2021,224,94.22,96.75,98.13,99.46,100.3,101.7,102.4,103.4,104.87,105.94,106.9,109.59,110
Charlie Blackmon,OF/DH,2021,199,92.69,94.4,95.58,97.28,98.61,100.22,101.85,102.84,105.03,105.92,106.55,109.11,109.8
Jason Heyward,OF,2021,101,93.27,95.7,96.7,97.4,99.1,100,101.5,103.5,105.2,105.9,107.5,111.4,115.3
Christian Walker,1B/DH,2021,156,92.43,94.6,96.4,97.3,98.3,99.6,101,102.7,104.38,105.9,108.13,109.45,110.3
Lane Thomas,OF,2021,79,94.71,96.4,97.86,98.4,99.75,100.58,101.4,102.44,103.75,105.9,107.43,108.71,109.1
Michael Conforto,OF,2021,154,93.51,95.3,96.62,98.46,99.65,100.61,101.7,102.9,104.02,105.87,108.14,110.52,111.3
Jonathan India,2B,2021,194,93.05,95,96.02,97.18,99.15,100.51,101.7,103.1,104.3,105.84,107.77,109.71,110.2
A.J. Pollock,OF/DH,2021,167,95.5,98.1,98.69,99.92,100.6,101.02,102.55,103.5,104.71,105.84,107.48,109.4,110.1
Victor Caratini,C/DH,2021,104,92.08,93,95.13,96.16,97.39,98.72,99.68,100.72,103.16,105.8,109.69,110.79,112.5
Miguel Cabrera,DH,2021,172,95.94,97.15,98.51,100.06,101.2,101.8,102.65,103.26,104.7,105.8,108.52,112.09,112.6
Gio Urshela,3B,2021,154,93.15,95.1,96.22,97.32,98.35,100.36,101.9,103.34,104.3,105.74,107.4,109.59,110.1
Frank Schwindel,1B,2021,99,91.5,95.1,95.49,96.94,98.87,100.5,101.45,103.26,104.86,105.72,107.91,109.76,112.5
Gavin Lux,2B,2021,119,92.59,94.4,95.29,96.46,97.6,98.52,100.15,102.12,104.22,105.7,107.83,109.16,109.7
Kyle Seager,3B,2021,256,94.05,95.25,96.03,97.7,98.68,100.4,101.9,103.8,104.98,105.7,107.33,108.95,111
Alex Verdugo,OF,2021,205,94.56,96,97.16,98.5,99.56,100.76,101.7,102.56,104.22,105.66,107.8,109.4,110.8
Austin Hays,OF,2021,190,92.88,93.8,95.5,96.9,98.77,100.4,101.48,102.82,104.13,105.61,106.77,108.34,110.3
Yu Chang,SS,2021,87,91.58,93,93.46,96.38,97.94,99.4,100.8,102.08,104.11,105.6,107.79,110.26,110.6
Daniel Vogelbach,DH,2021,77,94.41,97.2,98.32,98.8,99.5,100.06,100.4,101.68,103.78,105.56,107,112.7,114.3
Kyle Tucker,OF/DH,2021,255,94.25,96.4,97.27,98.14,99.72,101.18,102.15,103.32,104.39,105.56,106.66,109.49,111.1
Michael A. Taylor,OF,2021,173,92.52,94.4,96.26,97.5,99.98,101,102,102.92,103.82,105.56,107.44,110.36,111.4
Mitch Moreland,1B,2021,85,94.91,97.4,97.72,97.94,98.4,99.8,101.6,103.3,104.52,105.54,107.94,109.26,112.2
Jorge Polanco,SS,2021,285,93.49,94.6,96.12,97.3,98.66,100.2,101.3,103.28,104.4,105.5,106.98,108.63,109.9
Dansby Swanson,SS,2021,228,94.39,96.05,97.89,98.9,99.8,101.19,102.53,103.66,104.7,105.46,106.67,108.14,109.6
Andres Gimenez,2B/3B/SS,2021,60,90.18,92.85,93.55,94.84,96.55,97.76,99.3,101.2,103.62,105.42,106.52,107.89,108.3
Max Stassi,C,2021,91,95.07,98.2,100.4,101.1,101.55,102.4,103.2,103.5,104.1,105.4,106.4,107.53,107.8
Pavin Smith,1B,2021,180,92.29,95.5,96.65,97.8,98.5,99.43,100.85,101.78,102.65,105.4,107.31,109.1,110.4
Francisco Lindor,SS,2021,189,94,95.6,96.04,97.38,98.68,99.94,101.1,103.44,104.18,105.34,107.52,111.06,112.9
Alex Kirilloff,OF,2021,82,96.19,98.35,99.84,100.52,101.17,102.37,103.35,103.86,104.39,105.27,105.98,106.54,108.4
Andrew McCutchen,OF/DH,2021,186,93.42,96.3,97.55,98.6,99.63,100.45,101.3,102.1,103.83,105.2,107.2,108.82,110.8
Ty France,2B/DH,2021,225,92.47,94.2,95.52,97.18,98.48,100.32,101.3,102.42,103.84,105.2,106.2,108.83,111.1
Kris Bryant,3B,2021,212,92.84,94.05,95.91,97.4,98.7,100.3,101.33,102.98,103.8,105.19,106.29,109.07,110.4
Tim Anderson,SS,2021,173,94.82,96.9,98.8,99.5,100.18,100.74,101.4,103.1,104.02,105.18,106.34,109.22,110.2
Jesus Aguilar,1B/DH,2021,212,92.53,94.45,96.02,97.1,97.93,98.9,100.7,102.34,103.34,105.18,107.31,109.05,110.6
Kelvin Gutierrez,3B,2021,68,94.13,95.7,96.49,97.5,98.11,99.12,100,102.36,104,105.16,108.21,112.32,114.4
Enrique Hernandez,2B/OF,2021,233,93.75,95.5,96.3,97,98.18,99.34,100.5,102.06,103.62,105.16,107.64,109.27,111.3
Chris Taylor,2B/SS/OF,2021,196,92.66,94.5,96.28,98.4,99.5,101,102.55,103.4,104.4,105.15,106.7,109.22,110.7
Rougned Odor,2B,2021,105,94.26,95.1,95.94,97.52,98.62,99.28,101.1,102.26,103.44,105.14,108.4,110.98,111.4
Brandon Crawford,SS,2021,198,94.68,97.85,98.9,100.2,100.71,101.2,102.25,103.1,104.1,105.13,106.02,109.41,109.8
Brandon Marsh,OF,2021,80,96.37,98.4,99.35,99.9,100.2,100.56,101.88,102.5,104.06,105.11,106.2,108.74,108.9
Daulton Varsho,C/OF/DH,2021,108,92.1,95.55,97.44,98.6,99.21,99.97,101.13,102.86,104.19,105.1,107.56,109.97,110.9
Wil Myers,OF,2021,148,92.62,95.75,96.5,98.42,99.36,99.79,101.53,102.2,104,105.1,106.8,107.55,107.8
Alejandro Kirk,C,2021,77,94.79,96.2,98.48,100.72,101.6,102.02,102.4,102.94,104.26,105.08,106.82,108.49,109.4
Colin Moran,1B/DH,2021,105,93.54,94.7,96.3,98.42,100.16,101.76,102.1,102.62,103.72,105.06,106.04,107.28,107.8
Mike Yastrzemski,OF,2021,197,93.5,95.3,96.6,98.02,98.7,99.5,100.9,102.4,103.2,105.02,105.82,106.7,109.4
D.J. Stewart,OF,2021,89,92.45,94.1,95.56,96.96,98.16,100,101.9,102.88,104.28,105.02,108.82,110.16,110.6
Travis Shaw,1B/3B,2021,82,93.99,95.5,98.16,99.08,99.93,100.94,102.43,103.42,104.46,104.99,107.91,110.57,111.7
Paul DeJong,SS,2021,138,93.48,95.6,96.64,97.32,98.82,99.86,100.48,102.2,103.75,104.93,107.16,108.85,109.5
Niko Goodrum,2B/SS,2021,103,93.58,96.3,96.92,97.62,98.36,100.06,101.7,102.66,104.01,104.9,105.98,108.2,109.2
Nick Solak,2B/OF,2021,141,92.86,95.3,96,97.9,98.3,99.6,100.3,101.7,103.7,104.9,106.5,109.1,110.6
Ke'Bryan Hayes,3B,2021,109,93.52,94.6,95.64,97.34,98.02,100.04,101,101.92,103.44,104.9,106.74,108.98,109.7
Corey Dickerson,OF,2021,115,93.05,94.5,95.77,96.92,98.8,99.8,101.15,102.12,103.44,104.86,106.71,108.83,109.7
Kevin Pillar,OF,2021,122,91.29,93.45,94.8,95.66,96.43,96.91,98.75,100.96,102.03,104.86,107.06,109.07,110.5
Eduardo Escobar,3B,2021,240,91.76,93.55,94.4,96.1,97.6,98.6,99.9,101.2,102.85,104.82,106.71,108.78,110.8
LaMonte Wade Jr.,OF,2021,140,92.69,94.9,95.94,97.08,98.04,98.95,100.43,102.52,104.1,104.8,106.12,107.61,109.3
Tyrone Taylor,OF,2021,91,91.37,91.5,93.4,94.9,96.7,98.2,99.95,102,103.2,104.8,106.75,109.54,110.8
Billy McKinney,OF,2021,105,91.61,94,95.02,95.74,97.22,98.08,99,100.52,102.06,104.78,105.88,108.49,109.5
Brian Anderson,3B,2021,77,92.64,95,95.48,96.98,98.3,99.12,99.8,101.4,103.62,104.76,106.02,106.96,107.8
Jonah Heim,C,2021,99,92.51,95.5,97.19,97.56,98.5,100.46,101.1,102.3,103.6,104.74,105.85,108.51,109
Marwin Gonzalez,1B/2B/3B/OF,2021,79,91.99,92.3,94.28,96.14,97.54,98.62,100.45,102.94,104.23,104.72,106.62,107.73,110.3
Ramon Urias,2B/SS,2021,83,93.98,96.1,97.23,97.92,99.5,101.38,101.8,102.64,103.6,104.7,105.69,110.73,112.7
Brett Phillips,OF,2021,85,94.69,98.1,99,99.32,99.98,100.94,101.2,102.54,102.88,104.7,106.04,106.6,106.6
